O,P
3.0,
,
,
,
,
2.0,
,0.0
,
,
,
2.0,
,
,
,0.0
,
,
,
,
,0.0
7.0,
,
,
,
,
,
,
,0.0
,
,0.0
,
,
,
,
,0.0
,
,0.0
,
3.0,
,
,
,
,0.0
,0.0
4.0,
,
,1.0
,
,
,
,
,
,1.0
4.0,0.0
,
,
,
,
,
,
,
,
2.0,0.0
,
2.0,
,
2.0,
2.0,
2.0,
,
2.0,
,
,
,
,
,
,
,
,1.0
,
,
,
,
,
,
,
,
,
,
,
,
4.0,1.0
2.0,
,
,0.0
,
,
,
,
,
,
,
2.0,
,
,
,
4.0,
9.0,
,
5.0,
,
,
3.0,0.0
1.0,
,0.0
,
,
,
,0.0
,
,
,
1.0,0.0
,1.0
,
,
3.0,0.0
,
,
,
2.0,
4.0,
,
,
,
17.0,
16.0,
,
,
,
,
,
1.0,
2.0,
,
,
,
,
2.0,
,
3.0,
,
,
,
1.0,
,0.0
,
,1.0
,
,
,
3.0,
,0.0
,
,
4.0,
,
,
,
4.0,
,
,
,
,
2.0,
2.0,0.0
,
,
,
,
,
,
,
,
5.0,
3.0,
,
,
28.0,
2.0,
,
,
,
1.0,
,
,
4.0,
,
,
,
,0.0
,
,
4.0,
,0.0
,
,0.0
,1.0
,
,
4.0,1.0
4.0,
,0.0
,0.0
,
,
3.0,
,
,
,
,
,
,
,
3.0,
,
,0.0
,
,
,
,0.0
,
,
,
,
3.0,
3.0,
3.0,0.0
,
,
,
,0.0
,
,1.0
,
,
,0.0
,
3.0,
,
,0.0
,
4.0,
,
,
,
4.0,
,
,
1.0,
,
,1.0
5.0,
2.0,0.0
,
,
,
4.0,
5.0,
2.0,0.0
,
,
,0.0
,
1.0,
3.0,
27.0,0.0
,
,
,
,
,
,0.0
,1.0
,0.0
,
,
,
,
,0.0
,
,
1.0,
2.0,
,0.0
,
1.0,
,0.0
,
,0.0
,
,
4.0,0.0
,
,
,0.0
,
22.0,0.0
,
,0.0
,
3.0,
3.0,0.0
,
,
,0.0
,0.0
,0.0
4.0,0.0
,
6.0,
,
,
,
,0.0
,
,1.0
4.0,0.0
,
,
,
,
,
4.0,
,0.0
,
,
,
,
,
2.0,
,
,
3.0,
,
,
,
,
3.0,1.0
,
1.0,0.0
,
2.0,
,
,
,
,
3.0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,1.0
,0.0
,1.0
1.0,
,
,
,0.0
,
,0.0
,
,
,
,0.0
,
4.0,0.0
,
,
1.0,
,
,
,
4.0,
,
,
7.0,
,0.0
2.0,
,
,
,
,0.0
4.0,
,0.0
2.0,0.0
,
,
,
,
,
,0.0
,
,
,
,
,
2.0,
,
,
,
,
,
,
,
2.0,
,
,
,
,
,
,
,
,
3.0,1.0
,1.0
,
,
,
,
,
1.0,1.0
,
3.0,
,
,
,
,
,
,
,
,
,0.0
,
,
,
,
,
,
,
,
,
,
,
,0.0
,0.0
,
,0.0
2.0,0.0
,
,
,
,
,
,
,
,
3.0,
,
,
,
,0.0
,
,
,
,
,1.0
,
,
,1.0
,
,0.0
,0.0
,
,
,
,
,
,
,
,
,
3.0,
,
10.0,
,
,
,
,1.0
,0.0
1.0,0.0
,
,
,
7.0,
,0.0
,
,0.0
2.0,
,
,
,
,1.0
,
,
,
,0.0
1.0,1.0
,
,
,0.0
,
,
,
,
4.0,
1.0,
,
,
,
,
3.0,
,
,
,
,
,
,
,0.0
,0.0
2.0,
,
,
,
,
1.0,
,
,
,
,0.0
,
,
3.0,
,
1.0,0.0
,
,
2.0,0.0
2.0,0.0
,
,
,0.0
,
,
,
,0.0
4.0,
,
,
,
,0.0
,
,
,
,
,
,
,
,
,1.0
,0.0
,
,
,
,
,
,0.0
,
,
,
1.0,
,
,
,
3.0,
,
,1.0
,
,
,
,
,
,
,
,0.0
,
,0.0
,
,
,
,
,
,
,
,
3.0,
,
5.0,
1.0,
,
1.0,
5.0,
,
,
2.0,0.0
,
,
,
1.0,
,
,
,
2.0,
,
4.0,
,
1.0,
,
5.0,
,
1.0,
,0.0
,
,
,
,
,0.0
,
,
,
,
,
,
,
,
,
4.0,
,
,
,
,
,
,
,1.0
,
,
,
3.0,
,
,
,
,
14.0,
,
,
,0.0
3.0,
3.0,
,
1.0,
,
4.0,
,
,1.0
,
,
,
1.0,
2.0,
,
5.0,0.0
,1.0
,
3.0,
,
,
,
2.0,
,
139.0,
,
,
,
,
,
,
,
3.0,
3.0,
,
,
,
3.0,
3.0,
4.0,0.0
,
,
,
,
1.0,
,
,
,0.0
,0.0
,
2.0,
,
,
,0.0
,
,
,
,
,
,
,
,
4.0,
,
,
,
,
,
,
,
3.0,
,
,0.0
2.0,
,
,
,
,
,
4.0,
,
3.0,
5.0,
4.0,0.0
,
,
,
,1.0
,
,
2.0,
,
,
,1.0
1.0,
1.0,
8.0,
,0.0
,
,0.0
3.0,1.0
,
,
,
,
,
,
,
,0.0
,
,0.0
4.0,
,
,
,
,
,
,
2.0,0.0
6.0,
,0.0
,
,
4.0,
,
,1.0
,
,
,
,
,
,
32.0,
,
,
5.0,
3.0,
,0.0
4.0,
,
,
,
,
2.0,1.0
,
,
,
,
,
3.0,
6.0,
,
,
,
4.0,
,
,
,
2.0,0.0
4.0,
,
,
,
,
,
2.0,
1.0,0.0
,
,
3.0,1.0
,0.0
,
,
,
15.0,1.0
,
5.0,
2.0,
,0.0
,
,
,
2.0,
,
2.0,1.0
,
,
,
,
,
,
,
,
,0.0
,0.0
3.0,
4.0,1.0
,0.0
1.0,
,
,
3.0,
5.0,0.0
1.0,0.0
3.0,
3.0,
,1.0
2.0,
,
4.0,0.0
,
2.0,
,
,
4.0,
,0.0
1.0,
5.0,
,0.0
,0.0
,
,
,0.0
,
,
,
,
3.0,
,0.0
,0.0
4.0,
3.0,0.0
,
,
,0.0
1.0,
,
,0.0
,
2.0,
,
1.0,
,
3.0,
,
,
,
,0.0
,
,1.0
,
,0.0
,
4.0,
,0.0
,
,
,
,1.0
1.0,
,
10.0,
,
,
,
,
,
,
,
,
,
,
,0.0
1.0,
,
2.0,
,
,
,
,
,
4.0,
,
,
,0.0
,
,
,
,
,
,
,
1.0,
,
,
,
,
,
,
,0.0
,
,
3.0,
,
,
,
2.0,1.0
,
,
,0.0
,
,
4.0,
,
,
,0.0
,
,
,1.0
,
3.0,
3.0,
4.0,
,
,
,
1.0,
,
,0.0
3.0,0.0
,
1.0,
2.0,
,
,
2.0,
,
,0.0
,
,
,
,
,
,
3.0,0.0
3.0,
,
8.0,
,
,
,
,
,
,
,0.0
,
,
,
,0.0
,0.0
,
4.0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
2.0,
,0.0
,
,
2.0,
,0.0
,
,0.0
,
,0.0
,
2.0,
,
,
,
,
,
7.0,
,
,1.0
4.0,
,
,
,
,
,
,0.0
,
,
,
,1.0
4.0,
3.0,
,
1.0,1.0
2.0,
,
,
,0.0
,
,
,
,0.0
,
,1.0
,0.0
,
,
,
,
4.0,0.0
,
,0.0
,
,0.0
,
,
3.0,0.0
4.0,
,
,
,
,
,
,
,0.0
3.0,
,
,0.0
2.0,
,
,
3.0,
,
4.0,0.0
,0.0
,0.0
,1.0
,
,
,
,
3.0,0.0
2.0,
,
,
,
3.0,
,0.0
4.0,
,0.0
3.0,
,
4.0,
,
,
4.0,
3.0,
,
,
,
,0.0
,
,
,
,
,
,
,
,
,
,1.0
,
,
2.0,
,
4.0,0.0
,
2.0,0.0
,
,
,
4.0,1.0
,1.0
4.0,
,
,
1.0,
,
,1.0
,
,
,
,
,
,
,
,
1.0,1.0
,
,0.0
,
,
,
,
,
,
2.0,1.0
,
,
,1.0
,
,
,
2.0,0.0
,0.0
2.0,0.0
6.0,
,0.0
3.0,
5.0,
,
,
,
3.0,
,
,
,
,
8.0,
3.0,
,
2.0,
4.0,
,
,
,
,0.0
4.0,
,
3.0,
,0.0
4.0,
1.0,
,
,
4.0,
,
,
,
,0.0
,1.0
,
,
,0.0
,
,
,
,
1.0,0.0
,
,
,
7.0,
,0.0
,
,
,
4.0,
,
,
,
,
,
,
,
,
,
,
,
232.0,
8.0,
,
,
,
,
2.0,
,
222.0,0.0
,
,0.0
1.0,
,
,
,1.0
,
2.0,
,0.0
,
,0.0
,
,
,
,
,
,
,
,
,
,
,
,0.0
,
2.0,
4.0,0.0
,
1.0,0.0
,
,
4.0,0.0
,
,
2.0,
,1.0
4.0,
,
2.0,
,
10.0,
,
3.0,0.0
,0.0
,0.0
,
,
,
2.0,0.0
,
,
,0.0
,
,
,
,0.0
1.0,
,
1.0,
,1.0
,
,
2.0,
,
2.0,0.0
,
,
,
,
3.0,
,0.0
,
,
,
4.0,
1.0,0.0
,
,
,
,0.0
,
1.0,
,
,1.0
,
,
,
,
,
,
2.0,
,
7.0,
2.0,
,0.0
,
,1.0
,
,
,
,1.0
,
,
,
,
,
1.0,0.0
6.0,0.0
,
4.0,
,0.0
2.0,
,
,
,0.0
,0.0
,
,
,0.0
,0.0
,
,
3.0,
,
1.0,1.0
1.0,0.0
,
,
,
,
4.0,0.0
,
,
3.0,
6.0,
3.0,0.0
,
,0.0
3.0,1.0
,
,0.0
,
,
,
,
,
,1.0
,
,
,1.0
,
,
,
,
,0.0
,
,0.0
,
,0.0
,
,0.0
,
,
,0.0
,
,
,
1.0,
1.0,
,
,
,
,0.0
2.0,
,0.0
,
,
,0.0
,
,
,
,0.0
,
6.0,
,
,
,
,
,
,1.0
,
4.0,
,1.0
,
,0.0
,
,1.0
,
,
,
,
,
5.0,
,
,
,
,
,
,
,
,
,
,
,
,
,0.0
,
1.0,
6.0,0.0
4.0,
,
,
,
2.0,0.0
,
,
,0.0
,
,
,
,
,
,
,
2.0,
,
,
2.0,
,
,
23.0,
,
,
,
,
,
,
,
,
2.0,
,
2.0,
,
,0.0
,
,
,
,
,
,
,0.0
,
,
,
27.0,
,0.0
,0.0
,
,
1.0,0.0
,
6.0,0.0
,
,
,
4.0,0.0
,
5.0,0.0
,0.0
,1.0
,1.0
,
2.0,0.0
,
,
,
,
,
,
2.0,1.0
14.0,
,
,
,
,
3.0,
,
,
3.0,
,
,
,
,
4.0,
,
,
,
,
,
,
,0.0
2.0,
,0.0
,
5.0,
,
,
,
4.0,
,
,0.0
,
,
,
,
1.0,
,
,0.0
,
,
1.0,1.0
,
,
3.0,
,0.0
,
,
,
3.0,
,
,
,1.0
1.0,
,0.0
14.0,
,0.0
,0.0
3.0,
,0.0
,
,1.0
,
,
,
,
,0.0
,
,
,0.0
,
1.0,
,
,
,
,
,
,
,
,
,
,
1.0,
,0.0
1.0,
4.0,1.0
,
,
,
6.0,1.0
,
,
,
,
,
3.0,
,
,
,
3.0,
,
,0.0
2.0,0.0
,0.0
,
,
,
,0.0
,0.0
,
,
2.0,
,
,1.0
,
,
,
,0.0
,
,
,
,
2.0,
3.0,
2.0,
,
,
,0.0
4.0,
,
,
,
,
,
,
,
,
,
,
,
2.0,
1.0,1.0
,
,
,
,0.0
3.0,
,
,
,0.0
,
3.0,
,
,
,
,0.0
,
3.0,0.0
4.0,
,
,1.0
,
3.0,
,
,
,
,
,
,0.0
,
,
,
,
,
,
1.0,
,
,
1.0,
,
,
,
,
,
,
,
,
,
,
3.0,
,
,
,
,1.0
2.0,
5.0,
,
4.0,
,
2.0,
,
,1.0
,
,
,
4.0,
1.0,0.0
,
,
,
,
,
3.0,
,0.0
,
,
,
,
,
,
,0.0
4.0,
3.0,
,
,
,
,
,0.0
53.0,
,0.0
,
,
3.0,
,
,
,0.0
,0.0
,
,
2.0,
,
,
,
,
,
,0.0
3.0,
,
,
,
,
,1.0
,
,
1.0,
,0.0
,
,
5.0,
,
,1.0
5.0,
,
4.0,
,
,
,
,
,
,1.0
,
,
,0.0
4.0,0.0
,
,
,1.0
,
,
,1.0
,
,0.0
,
,
,0.0
,
3.0,
,
,0.0
,
,
,0.0
,
2.0,
,
,
,
,
,0.0
,
,
,
,
,1.0
,0.0
,
,
,
,
,
,0.0
5.0,
,
,
,
,
2.0,0.0
,0.0
3.0,
,
3.0,
,
,
,
,
,
,
,1.0
,
,
1.0,
,
,
,
,
,0.0
,
,
,
3.0,
,
,
,
,
2.0,
,
2.0,
,
3.0,
,
1.0,
,
,0.0
,
,
,
,
,
,
,0.0
,
,0.0
,
,
13.0,
,
,0.0
,
1.0,
,
,
,0.0
,
,
,
,0.0
,
,1.0
,
,
,
2.0,
,
,
5.0,
,0.0
,
5.0,
,1.0
,
,0.0
,
,
13.0,
,
4.0,
,
3.0,
,
,
,
,0.0
,0.0
,1.0
,
4.0,
4.0,
,
,
4.0,
,
,
,
,
2.0,
,1.0
,0.0
2.0,
4.0,
,
,
1.0,0.0
,
,
,
,
,
,
,
,
1.0,0.0
,
,
,0.0
,
,
,
1.0,0.0
,1.0
2.0,
,0.0
2.0,
,0.0
,1.0
,
,
,0.0
,
,
,
1.0,
,
,
,
,
1.0,0.0
,1.0
,
,
4.0,
,
6.0,
,
,
1.0,
,
,
,
,
,
,
,
,
,
,0.0
,
,
,
,
,
,
,0.0
,0.0
,
,
,
,
,
4.0,
,
,
,
2.0,
,
,
,0.0
2.0,
,0.0
,
,
,
,
3.0,0.0
,
,
,
,0.0
,
3.0,0.0
,
,
,
,
,
,
,
,
,
,
,
,
4.0,1.0
,
,
,
,
2.0,
,
8.0,
,
,0.0
,
,
,
,
,
3.0,1.0
,0.0
2.0,
,0.0
,
,
,
,
3.0,
,
,
,
,
,
,
,
21.0,
,
,
,
,
,0.0
,0.0
,0.0
4.0,
,
,
,
,
,
,
,
,
5.0,0.0
,
,
,
4.0,1.0
,0.0
,
9.0,1.0
,0.0
,
3.0,
3.0,0.0
,
4.0,
3.0,
,
,
,
,
,
,
,0.0
,0.0
,1.0
,0.0
,
,
,
,0.0
,
,
,
,
4.0,1.0
4.0,
,
,
4.0,
,
,
,
,
,
,
,0.0
,0.0
,0.0
,
,0.0
,1.0
,
2.0,
,
,0.0
,
,1.0
3.0,
,
,
,
,
,
,
,
,
,0.0
,0.0
5.0,
,
,
,
,
,
,
,
,
,
3.0,
,
,
,
2.0,
,
,
,
,0.0
2.0,
,
1.0,
2.0,
,
4.0,
,
,
,
,
,
,
4.0,0.0
2.0,
,
16.0,
,
,
,
,
,0.0
2.0,
3.0,
,
,
5.0,
1.0,
,
4.0,
,
,
,
,
,
,
,
2.0,
,
,
2.0,
,
,
,
,
4.0,
,
,
,
,
,0.0
,
,1.0
,0.0
,
,
,0.0
6.0,
,
,0.0
,0.0
,
,
,
,0.0
,
,
,
,
4.0,
,
,
,
,
,
,
4.0,
,
1.0,
,
,
,
,
,
,
,
,0.0
,0.0
,
,0.0
,0.0
,0.0
2.0,
1.0,
,0.0
3.0,
,
,
,0.0
,0.0
,
,
,0.0
,0.0
,
,
,
,
,
,
2.0,
,0.0
,
,
2.0,1.0
,
3.0,
,0.0
,
,
,0.0
,
5.0,
,
,
,
,
,
,
,0.0
,
4.0,0.0
,0.0
,
,
,
2.0,
,
3.0,
,1.0
4.0,
1.0,0.0
,
,0.0
,
,
,
,
,
,
,
4.0,
,
,
,
,
,1.0
,
,
,
6.0,
,1.0
,
,
,
,
,
,
,
,
,
1.0,
,
,
,
,
,
4.0,
,0.0
1.0,
,
,
,
,
,0.0
4.0,
,0.0
,
1.0,
,
1.0,
,
,0.0
,
,
,
,
,
,
4.0,
,
10.0,0.0
1.0,0.0
,
,0.0
,
,
4.0,0.0
,
,
,
1.0,
,0.0
3.0,
,1.0
,0.0
,
2.0,
,
,
,
3.0,0.0
,0.0
1.0,
3.0,0.0
,
,
2.0,1.0
,
,
,
,
,0.0
,
,
,
2.0,
,
,
,
,
,0.0
,
,
,
,
,
,
,
,
,1.0
,
,1.0
,
,
,
4.0,
,
,
4.0,
,
2.0,
2.0,0.0
,
,0.0
1.0,1.0
,
,
,0.0
,
,
,
3.0,
,0.0
,
,
,
,
2.0,0.0
4.0,0.0
,
12.0,
,
1.0,
,
3.0,
,
,
,
1.0,
4.0,
,
,0.0
,
,
,
,
4.0,
,1.0
,0.0
,0.0
,
,
,0.0
,0.0
4.0,
,
,
,
,
,
1.0,
4.0,
,
,1.0
,
,
,1.0
4.0,0.0
,
,
,0.0
1.0,
1.0,
,
,
,
2.0,0.0
,
3.0,
,0.0
,
2.0,
,
,
,0.0
3.0,
,
,
,0.0
,
,
2.0,
,
,
,
,
,
3.0,
,
,1.0
4.0,
,
1.0,
2.0,
,
,
,
,
,
,
,
,
,
,
,
1.0,
3.0,
,
7.0,1.0
,
,
,
,
,
,
,
,
2.0,
,0.0
,
,
,
,
,
,
,
,
2.0,
,
,
,
,
,
,0.0
4.0,
,
,
,0.0
5.0,0.0
,
4.0,
,
,
,
14.0,
,
2.0,0.0
,
,
,0.0
,
,0.0
7.0,
4.0,0.0
,
,
,1.0
,
,1.0
,
7.0,
,0.0
1.0,
,0.0
,
3.0,
,
,
,
,
,1.0
,
,0.0
3.0,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
5.0,
1.0,
,
4.0,
,0.0
,
,
,
,
,
,
,
,
,
,1.0
,
,
,
,0.0
,
,
,
,
,1.0
,0.0
,
,
,1.0
,
,0.0
,
,
3.0,
,0.0
,
2.0,
,
,
,
,
,0.0
4.0,
,
,
32.0,
,
,
,0.0
,
,
,0.0
,
1.0,
,
,
,
,0.0
,
,
,
2.0,0.0
2.0,
,
4.0,
,
,
,
,
4.0,
,1.0
,
,
,
,
,
,
,0.0
,
,
,0.0
,
,0.0
,0.0
,
4.0,
,1.0
3.0,
,0.0
,
,
,
,
,
4.0,
,
4.0,
,
,0.0
,
,
,0.0
,
2.0,
,
,
6.0,
,
,
,
,0.0
2.0,
1.0,1.0
,
,
,
1.0,
1.0,
,1.0
3.0,0.0
,
4.0,0.0
3.0,
,
,
4.0,
5.0,
3.0,
3.0,
3.0,0.0
,
,
,
,
,
1.0,0.0
,0.0
3.0,
,
,1.0
,
,
,
3.0,0.0
,
5.0,
,
4.0,0.0
,1.0
,0.0
,
4.0,
,
,
,
4.0,
,
,
,
,
,
,0.0
,
2.0,
3.0,
,
,
,
,
4.0,
2.0,
,
3.0,
,
,
,0.0
,
,
,
,
,
,
4.0,
,
4.0,
,
,
,
3.0,0.0
,
3.0,
,
,
,
2.0,
,
1.0,
,
,
,
4.0,
,
2.0,0.0
,0.0
,
,
5.0,0.0
4.0,
,
,0.0
,
,
,0.0
4.0,0.0
,
,0.0
3.0,1.0
,1.0
,
,0.0
,
,0.0
,0.0
,
,
3.0,
,
,
,
,
,0.0
,
1.0,
,
,0.0
,
,
,
,
,
,
,
,
,
,
,
,
1.0,
,
,
,0.0
,0.0
,
,
,
,0.0
,
,
,
,
,
1.0,0.0
,
,
4.0,
6.0,0.0
,
,
,
,
2.0,
3.0,0.0
,0.0
,
1.0,
,1.0
,0.0
,0.0
4.0,0.0
,
,
,
,0.0
4.0,
,
,1.0
,0.0
,
,
,
,
,
,
,1.0
,
,
,
,
,
,0.0
,
,
,
,
4.0,
3.0,
,
,
,
1.0,0.0
,
,
,
,
,
,
,
1.0,0.0
4.0,
,
,
,
,
,
,
,0.0
,
,
,
3.0,
,1.0
,0.0
6.0,
,
,0.0
,
,
,
,
,
,
,0.0
,
,
,1.0
,
,
1.0,
,
,
,
,
,
,
,
,
,
,
,
4.0,
,
,
,
,
,
,
,0.0
,
,
,0.0
,
,
,
,0.0
,
,
,
,
,
,
,
,
,
,
,
,
,
4.0,
,
,0.0
,
,
,0.0
,
,1.0
,
,
,
,
1.0,0.0
,
,0.0
3.0,0.0
,0.0
,
,
,
,
,
3.0,0.0
,
,
,
,
4.0,0.0
3.0,
4.0,
,
,
,
,
,
,
,
,
,
,
,
4.0,0.0
,0.0
,
,
,
,0.0
,
,
,
,
,
,
,0.0
,
,
2.0,
3.0,
,0.0
4.0,
,0.0
,1.0
,0.0
,1.0
,
,
1.0,0.0
2.0,
,0.0
,
2.0,0.0
,
,
,
,
4.0,0.0
,
,
,
,
,
,
1.0,
,0.0
,
,
5.0,
4.0,
,
,
,
,
,
,
,
,
3.0,
,0.0
,
,1.0
,
,0.0
,
,1.0
,0.0
2.0,
,1.0
5.0,1.0
,
,0.0
,
12.0,
,
,
,0.0
,
,
,
,
,
,0.0
,
,
3.0,
,
4.0,
1.0,0.0
6.0,0.0
,1.0
1.0,
,
,
1.0,
2.0,
,0.0
,
,
,
,
,
4.0,
4.0,
,
,
,
,
,
,
,
,
,
,
2.0,0.0
,
,
,
3.0,
,0.0
,
,
,
,
,1.0
4.0,
4.0,
,
,
,
,
,0.0
,
,
4.0,
,
,
,
3.0,0.0
3.0,
,
,
,
,
,0.0
,0.0
,
,0.0
,
4.0,
,
2.0,
,0.0
,
,
,
,
,1.0
,
,
,0.0
,
4.0,
,
2.0,
,
,
,0.0
,
,
,0.0
,
,
,
,1.0
,
,
,
,1.0
,
,
4.0,
,
,0.0
2.0,
,
,
,
,
,
2.0,0.0
,
,
,
,
,0.0
,0.0
,
,
3.0,
6.0,
2.0,0.0
,
,0.0
,
,1.0
,
3.0,
,
,
,
,
,
,
3.0,
,0.0
,
,1.0
1.0,0.0
,
,
,
,
2.0,
,
,
,
4.0,0.0
4.0,
,
4.0,
,
,
10.0,0.0
,
,1.0
,
4.0,
,0.0
,
4.0,0.0
7.0,
,
,
,
,
2.0,
,
,
,
,
,
3.0,1.0
,
,1.0
,
,
3.0,
3.0,
3.0,
,
9.0,
1.0,
,0.0
,
,0.0
,
1.0,
,
,
,
,
4.0,
,0.0
,
,
,
,0.0
,
,
,
,
,
,1.0
,
,
,
3.0,
5.0,
,0.0
,
,
,
,
,
,
,
,
,
,0.0
,
,
,
,1.0
,
,
,
,
,
2.0,
,
,
,0.0
,
,
,
,
,
,
,0.0
,0.0
,
,
3.0,
,1.0
,
,0.0
,
,
,
,
,
,
,
,
2.0,
4.0,
,
,
,1.0
,
4.0,
,
,0.0
2.0,
,
,
,
,
,0.0
,
,
,
,
,
,
,
,
,
,0.0
,0.0
,
2.0,0.0
,
4.0,
,
,
,
,0.0
,
,
,
,
,
,
,
,
,
,
,
,
3.0,0.0
,
,
4.0,
,
,
,
,
,
,
,
,
,1.0
4.0,
,0.0
,0.0
,
,
,
,
,
4.0,0.0
57.0,1.0
,
,
,0.0
,1.0
,
2.0,
,
,
,
,
,
,
2.0,
,
,
,
,0.0
,
3.0,
4.0,
,
,0.0
2.0,0.0
,
,
,
,
2.0,
,
,
2.0,
,
,
,
3.0,
,0.0
2.0,
1.0,0.0
4.0,0.0
,
,
6.0,
,
1.0,
,
4.0,
,
,0.0
,0.0
,0.0
,
,0.0
,
,
2.0,
,
,
2.0,
,
,0.0
2.0,
,
,
,0.0
,
,
,
,
,
,0.0
,
,
,
,
,0.0
,
,
,
,
,
,
,
,
,
4.0,
,
2.0,
,
,
4.0,
,0.0
3.0,
,0.0
,0.0
,
,0.0
7.0,
,0.0
5.0,
,
,0.0
4.0,
,
,
,0.0
,
,
,
,
15.0,
,0.0
1.0,1.0
6.0,
,
,
4.0,
,
,
,
,
4.0,
20.0,0.0
,1.0
,
,
4.0,
4.0,
,
,
,
,
,
,
,0.0
,
,
,
,
,
,0.0
2.0,
4.0,
4.0,
,
,0.0
,
,0.0
3.0,
,0.0
,
,
,
,0.0
,0.0
,
,
,0.0
,0.0
3.0,
,
,
,
,1.0
4.0,
,
4.0,
,
,0.0
,
,
,
,
,
,
,
,
,
,
4.0,
,
,1.0
,
,0.0
,
,
,
,
,
,
,0.0
,
,0.0
,1.0
,1.0
,
,
,
,
,
,0.0
,
4.0,
,
,
,
,
80.0,
,
4.0,0.0
,
2.0,
,
,
,
,
1.0,
4.0,
,
,
,
,0.0
1.0,
,
,
,
,
,
,
,
,
,
,0.0
,
2.0,
,0.0
,
,
,0.0
,0.0
,
3.0,
4.0,
,0.0
4.0,
,
,
2.0,
,
,1.0
,
,
,
,
,
,
,
,
2.0,
,
,1.0
,
,0.0
4.0,0.0
,
,
,
,
,
,
,
,
,
,
,
,
,0.0
,
,
,
,0.0
,
,
,0.0
,
,
,
1.0,
4.0,
4.0,
,
2.0,
,
,
,
2.0,
,
,
,
,
,
3.0,
,
,1.0
,0.0
5.0,
,
,0.0
,
,0.0
682.0,
,0.0
1.0,
,
,
,
,
,
,
,
,
4.0,
,
,
,
,
,0.0
,
6.0,
,
,
,
,0.0
,
,
,
,1.0
,
,
3.0,
,0.0
,
,
,1.0
1.0,
,
,
,
,
,1.0
,
,0.0
,
,0.0
,
,
,
,
,
,
,
,0.0
,
,
,
,
,
,
,
,
,
,0.0
,
,
,1.0
,
